player name,mvp,ops,avg,rbi,hr
DJ LeMahieu,No,1.011,0.364,27,10
Jose Ramirez,No,0.993,0.292,46,17
Mike Trout,No,0.993,0.281,46,17
Nelson Cruz,No,0.992,0.303,33,16
Jose Abreu,Yes,0.987,0.317,60,19
Luke Voit,No,0.948,0.277,52,22
Teoscar Hernandez,No,0.919,0.289,34,16
Brandon Lowe,No,0.916,0.269,37,14
Anthony Rendon,No,0.916,0.286,31,9
George Springer,No,0.899,0.265,32,14
Eloy Jimenez,No,0.890,0.296,41,14
Tim Anderson,No,0.886,0.322,21,10
Lourdes Gurriel,No,0.882,0.308,33,11
Jeimer Candelario,No,0.872,0.297,29,7
Xander Bogaerts,No,0.867,0.300,28,11
Alex Verdugo,No,0.844,0.308,15,6
Michael Brantley,No,0.840,0.300,22,5
Kyle Tucker,No,0.836,0.268,42,9
Robbie Grossman,No,0.826,0.241,23,8
Tommy La Stella,No,0.819,0.281,25,5
Renato Nunez,No,0.816,0.256,31,12
Jackie Bradley,No,0.814,0.283,22,7
Willy Adames,No,0.813,0.259,23,8
Cavan Biggio,No,0.807,0.250,28,8
David Fletcher,No,0.801,0.319,18,3
Mike Trout,Yes,1.083,0.291,104,45
Nelson Cruz,No,1.031,0.311,108,41
Alex Bregman,No,1.015,0.296,112,41
George Springer,No,0.974,0.292,96,39
Xander Bogaerts,No,0.939,0.309,117,33
J.D. Martinez,No,0.939,0.304,105,36
Jorge Soler,No,0.922,0.265,117,48
Austin Meadows,No,0.922,0.291,89,33
Rafael Devers,No,0.916,0.311,115,32
Yoan Moncada,No,0.915,0.315,79,25
Mookie Betts,No,0.915,0.295,80,29
Carlos Santana,No,0.911,0.281,93,34
Jose Altuve,No,0.903,0.298,74,31
Trey Mancini,No,0.899,0.291,97,35
Matt Olson,No,0.896,0.267,91,36
DJ LeMahieu,No,0.893,0.327,102,26
Marcus Semien,No,0.892,0.285,92,33
Yuli Gurriel,No,0.884,0.298,104,31
Michael Brantley,No,0.875,0.311,90,22
Gleyber Torres,No,0.871,0.278,90,38
Hunter Dozier,No,0.870,0.279,84,26
Tim Anderson,No,0.865,0.335,56,18
Danny Santana,No,0.857,0.283,81,28
Max Kepler,No,0.855,0.252,90,36
Francisco Lindor,No,0.854,0.284,74,32
Mike Trout,No,1.088,0.312,79,39
Mookie Betts,Yes,1.078,0.346,80,32
J.D. Martinez,No,1.031,0.330,130,43
Jose Ramirez,No,0.939,0.270,105,39
Alex Bregman,No,0.926,0.286,103,31
Xander Bogaerts,No,0.883,0.288,103,23
Khris Davis,No,0.874,0.247,123,48
Francisco Lindor,No,0.871,0.277,92,38
Matt Chapman,No,0.864,0.278,68,24
Mitch Haniger,No,0.859,0.285,93,26
Miguel Andujar,No,0.855,0.297,92,27
Nick Castellanos,No,0.854,0.298,89,23
Giancarlo Stanton,No,0.852,0.266,100,38
Nelson Cruz,No,0.850,0.256,97,37
Jose Altuve,No,0.837,0.316,61,13
Aaron Hicks,No,0.833,0.248,79,27
Michael Brantley,No,0.832,0.309,76,17
Andrew Benintendi,No,0.830,0.290,87,16
Didi Gregorius,No,0.829,0.268,86,27
Stephen Piscotty,No,0.821,0.267,88,27
C.J. Cron,No,0.816,0.253,74,30
Shin-Soo Choo,No,0.810,0.264,62,21
Joey Gallo,No,0.810,0.206,92,40
Edwin Encarnacion,No,0.810,0.246,107,32
Justin Upton,No,0.808,0.257,85,30
Mike Trout,No,1.071,0.306,72,33
Aaron Judge,No,1.049,0.284,114,52
Jose Altuve,Yes,0.957,0.346,81,24
Jose Ramirez,No,0.956,0.318,83,29
Nelson Cruz,No,0.924,0.288,119,39
Marwin Gonzalez,No,0.907,0.303,90,23
Jose Abreu,No,0.906,0.304,102,33
Justin Upton,No,0.901,0.273,109,35
George Springer,No,0.889,0.283,85,34
Avisail Garcia,No,0.886,0.330,80,18
Justin Smoak,No,0.883,0.270,90,38
Eric Hosmer,No,0.882,0.318,94,25
Edwin Encarnacion,No,0.881,0.258,107,38
Gary Sanchez,No,0.876,0.278,90,33
Joey Gallo,No,0.870,0.209,80,41
Logan Morrison,No,0.868,0.246,85,38
Yonder Alonso,No,0.866,0.266,67,28
Khris Davis,No,0.864,0.247,110,43
Brian Dozier,No,0.856,0.271,93,34
Josh Reddick,No,0.847,0.314,82,13
Francisco Lindor,No,0.842,0.273,89,33
Jonathan Schoop,No,0.841,0.293,105,32
Eddie Rosario,No,0.836,0.290,78,27
Mike Moustakas,No,0.835,0.272,85,38
Alex Bregman,No,0.827,0.284,71,19
David Ortiz,No,1.021,0.315,127,38
Mike Trout,Yes,0.991,0.315,100,29
Miguel Cabrera,No,0.956,0.316,108,38
Josh Donaldson,No,0.953,0.284,99,37
Jose Altuve,No,0.928,0.338,96,24
Nelson Cruz,No,0.915,0.287,105,43
J.D. Martinez,No,0.908,0.307,68,22
Mookie Betts,No,0.897,0.318,113,31
Brian Dozier,No,0.886,0.268,99,42
Edwin Encarnacion,No,0.886,0.263,127,42
Robinson Cano,No,0.882,0.298,103,39
Adrian Beltre,No,0.879,0.300,104,32
Manny Machado,No,0.876,0.294,96,37
Hanley Ramirez,No,0.866,0.286,111,30
Carlos Santana,No,0.865,0.259,87,34
Kyle Seager,No,0.859,0.278,99,30
Carlos Beltran,No,0.850,0.295,93,29
Mark Trumbo,No,0.850,0.256,108,47
Evan Longoria,No,0.840,0.273,98,36
Jackie Bradley,No,0.835,0.267,87,26
Ian Kinsler,No,0.831,0.288,83,28
Khris Davis,No,0.831,0.247,102,42
Victor Martinez,No,0.826,0.289,86,27
Jose Ramirez,No,0.825,0.312,76,11
Dustin Pedroia,No,0.825,0.318,74,15
Mike Trout,No,0.991,0.299,90,41
Miguel Cabrera,No,0.974,0.338,76,18
Josh Donaldson,Yes,0.939,0.297,123,41
Nelson Cruz,No,0.936,0.302,93,44
Edwin Encarnacion,No,0.929,0.277,111,39
Chris Davis,No,0.923,0.262,117,47
David Ortiz,No,0.913,0.273,108,37
Jose Bautista,No,0.913,0.250,114,40
J.D. Martinez,No,0.879,0.282,102,38
Manny Machado,No,0.861,0.286,86,35
Michael Brantley,No,0.859,0.310,84,15
Jose Abreu,No,0.850,0.290,101,30
Kendrys Morales,No,0.847,0.290,106,22
Alex Rodriguez,No,0.842,0.250,86,33
Prince Fielder,No,0.841,0.305,98,23
Lorenzo Cain,No,0.838,0.307,72,16
Shin-Soo Choo,No,0.838,0.276,82,22
Jason Kipnis,No,0.823,0.303,52,9
Eric Hosmer,No,0.822,0.297,93,18
Mookie Betts,No,0.820,0.291,77,18
Mike Moustakas,No,0.818,0.284,82,22
Mitch Moreland,No,0.812,0.278,85,23
Jose Altuve,No,0.812,0.313,66,15
Ben Zobrist,No,0.809,0.276,56,13
Carlos Beltran,No,0.808,0.276,67,19
Victor Martinez,No,0.974,0.335,103,32
Jose Abreu,No,0.964,0.317,107,36
Mike Trout,Yes,0.939,0.287,111,36
Jose Bautista,No,0.928,0.286,103,35
Edwin Encarnacion,No,0.901,0.268,98,34
Miguel Cabrera,No,0.894,0.313,109,25
Michael Brantley,No,0.890,0.327,97,20
Adrian Beltre,No,0.879,0.324,77,19
David Ortiz,No,0.873,0.263,104,35
Nelson Cruz,No,0.859,0.271,108,40
Robinson Cano,No,0.836,0.314,82,14
Jose Altuve,No,0.830,0.341,59,7
Melky Cabrera,No,0.808,0.301,73,16
Chris Carter,No,0.799,0.227,88,37
Josh Donaldson,No,0.798,0.255,98,29
Carlos Santana,No,0.792,0.231,85,27
Albert Pujols,No,0.790,0.272,105,28
Kyle Seager,No,0.788,0.268,96,25
Yan Gomes,No,0.785,0.278,74,21
Alex Gordon,No,0.783,0.266,74,19
Adam Jones,No,0.780,0.281,96,29
Kole Calhoun,No,0.776,0.272,58,17
Dexter Fowler,No,0.774,0.276,35,8
Brandon Moss,No,0.772,0.234,81,25
Lonnie Chisenhall,No,0.770,0.280,59,13
Miguel Cabrera,Yes,1.078,0.348,137,44
Chris Davis,No,1.004,0.286,138,53
Mike Trout,No,0.988,0.323,97,27
David Ortiz,No,0.959,0.309,103,30
Edwin Encarnacion,No,0.904,0.272,104,36
Robinson Cano,No,0.899,0.314,107,27
Josh Donaldson,No,0.883,0.301,93,24
Joe Mauer,No,0.880,0.324,47,11
Adrian Beltre,No,0.880,0.315,92,30
Brandon Moss,No,0.859,0.256,87,30
Jose Bautista,No,0.856,0.259,73,28
Adam Lind,No,0.854,0.288,67,23
Evan Longoria,No,0.842,0.269,88,32
Mike Napoli,No,0.842,0.259,92,23
Carlos Santana,No,0.832,0.268,74,20
Daniel Nava,No,0.831,0.303,66,12
Prince Fielder,No,0.819,0.279,106,25
Jason Kipnis,No,0.818,0.284,84,17
Adam Jones,No,0.811,0.285,108,33
Shane Victorino,No,0.801,0.294,61,15
Eric Hosmer,No,0.801,0.302,79,17
Torii Hunter,No,0.800,0.304,84,17
Jed Lowrie,No,0.791,0.290,75,15
Billy Butler,No,0.787,0.289,82,15
Dustin Pedroia,No,0.786,0.301,84,9
Miguel Cabrera,Yes,0.999,0.330,139,44
Mike Trout,No,0.963,0.326,83,30
Edwin Encarnacion,No,0.941,0.280,110,42
Prince Fielder,No,0.940,0.313,108,30
Josh Hamilton,No,0.930,0.285,128,43
Robinson Cano,No,0.929,0.313,94,33
Adrian Beltre,No,0.921,0.321,102,36
Josh Willingham,No,0.890,0.260,110,35
Billy Butler,No,0.882,0.313,107,29
Joe Mauer,No,0.862,0.319,85,10
Yoenis Cespedes,No,0.861,0.292,82,23
Albert Pujols,No,0.859,0.285,105,30
David Murphy,No,0.859,0.304,61,15
Paul Konerko,No,0.857,0.298,75,26
Austin Jackson,No,0.856,0.300,66,16
Alex Rios,No,0.850,0.304,91,25
Ben Zobrist,No,0.848,0.270,74,20
Adam Jones,No,0.839,0.287,82,32
Nick Swisher,No,0.837,0.272,93,24
A.J. Pierzynski,No,0.827,0.278,77,27
Chris Davis,No,0.827,0.270,85,33
Alex Gordon,No,0.822,0.294,72,14
Torii Hunter,No,0.817,0.313,92,16
Shin-Soo Choo,No,0.815,0.283,67,16
Adrian Gonzalez,No,0.812,0.300,86,15
Josh Hamilton,Yes,1.044,0.359,100,32
Miguel Cabrera,No,1.042,0.328,126,38
Jose Bautista,No,0.995,0.260,124,54
Paul Konerko,No,0.977,0.312,111,39
Adrian Beltre,No,0.918,0.321,102,28
Robinson Cano,No,0.914,0.319,109,29
Luke Scott,No,0.902,0.284,72,27
David Ortiz,No,0.899,0.270,102,32
Shin-Soo Choo,No,0.885,0.300,90,22
Evan Longoria,No,0.879,0.294,104,22
Joe Mauer,No,0.871,0.327,75,9
Nick Swisher,No,0.870,0.288,89,29
Billy Butler,No,0.857,0.318,78,15
Carl Crawford,No,0.851,0.307,90,19
Alex Rodriguez,No,0.847,0.270,125,30
Vernon Wells,No,0.846,0.273,88,31
Mark Teixeira,No,0.846,0.256,108,33
Victor Martinez,No,0.844,0.302,79,20
Vladimir Guerrero,No,0.841,0.300,115,29
Delmon Young,No,0.826,0.298,112,21
Carlos Quentin,No,0.821,0.243,87,26
Hideki Matsui,No,0.820,0.274,84,21
Torii Hunter,No,0.819,0.281,90,23
Nick Markakis,No,0.805,0.297,60,12
Daric Barton,No,0.798,0.273,57,10
Joe Mauer,Yes,1.031,0.365,96,28
Kevin Youkilis,No,0.961,0.305,94,27
Mark Teixeira,No,0.948,0.292,122,39
Ben Zobrist,No,0.948,0.297,91,27
Miguel Cabrera,No,0.942,0.324,103,34
Alex Rodriguez,No,0.933,0.286,100,30
Adam Lind,No,0.932,0.305,114,35
Kendrys Morales,No,0.924,0.306,108,34
Jason Bay,No,0.921,0.267,119,36
J.D. Drew,No,0.914,0.279,68,24
Jason Kubel,No,0.907,0.300,103,28
Carlos Pena,No,0.893,0.227,100,39
Michael Young,No,0.892,0.322,68,22
Evan Longoria,No,0.889,0.281,113,33
Shin-Soo Choo,No,0.883,0.300,86,20
Jason Bartlett,No,0.879,0.320,66,14
Justin Morneau,No,0.878,0.274,100,30
Hideki Matsui,No,0.876,0.274,90,28
Torii Hunter,No,0.873,0.299,90,22
Robinson Cano,No,0.871,0.320,85,25
