player name,mvp,ops,avg,rbi,hr
DJ LeMahieu,0,1.011,0.364,27,10
Jose Ramirez,0,0.993,0.292,46,17
Mike Trout,0,0.993,0.281,46,17
Nelson Cruz,0,0.992,0.303,33,16
Jose Abreu,1,0.987,0.317,60,19
Luke Voit,0,0.948,0.277,52,22
Teoscar Hernandez,0,0.919,0.289,34,16
Brandon Lowe,0,0.916,0.269,37,14
Anthony Rendon,0,0.916,0.286,31,9
George Springer,0,0.899,0.265,32,14
Eloy Jimenez,0,0.890,0.296,41,14
Tim Anderson,0,0.886,0.322,21,10
Lourdes Gurriel,0,0.882,0.308,33,11
Jeimer Candelario,0,0.872,0.297,29,7
Xander Bogaerts,0,0.867,0.300,28,11
Alex Verdugo,0,0.844,0.308,15,6
Michael Brantley,0,0.840,0.300,22,5
Kyle Tucker,0,0.836,0.268,42,9
Robbie Grossman,0,0.826,0.241,23,8
Tommy La Stella,0,0.819,0.281,25,5
Renato Nunez,0,0.816,0.256,31,12
Jackie Bradley,0,0.814,0.283,22,7
Willy Adames,0,0.813,0.259,23,8
Cavan Biggio,0,0.807,0.250,28,8
David Fletcher,0,0.801,0.319,18,3
Mike Trout,1,1.083,0.291,104,45
Nelson Cruz,0,1.031,0.311,108,41
Alex Bregman,0,1.015,0.296,112,41
George Springer,0,0.974,0.292,96,39
Xander Bogaerts,0,0.939,0.309,117,33
J.D. Martinez,0,0.939,0.304,105,36
Jorge Soler,0,0.922,0.265,117,48
Austin Meadows,0,0.922,0.291,89,33
Rafael Devers,0,0.916,0.311,115,32
Yoan Moncada,0,0.915,0.315,79,25
Mookie Betts,0,0.915,0.295,80,29
Carlos Santana,0,0.911,0.281,93,34
Jose Altuve,0,0.903,0.298,74,31
Trey Mancini,0,0.899,0.291,97,35
Matt Olson,0,0.896,0.267,91,36
DJ LeMahieu,0,0.893,0.327,102,26
Marcus Semien,0,0.892,0.285,92,33
Yuli Gurriel,0,0.884,0.298,104,31
Michael Brantley,0,0.875,0.311,90,22
Gleyber Torres,0,0.871,0.278,90,38
Hunter Dozier,0,0.870,0.279,84,26
Tim Anderson,0,0.865,0.335,56,18
Danny Santana,0,0.857,0.283,81,28
Max Kepler,0,0.855,0.252,90,36
Francisco Lindor,0,0.854,0.284,74,32
Mike Trout,0,1.088,0.312,79,39
Mookie Betts,1,1.078,0.346,80,32
J.D. Martinez,0,1.031,0.330,130,43
Jose Ramirez,0,0.939,0.270,105,39
Alex Bregman,0,0.926,0.286,103,31
Xander Bogaerts,0,0.883,0.288,103,23
Khris Davis,0,0.874,0.247,123,48
Francisco Lindor,0,0.871,0.277,92,38
Matt Chapman,0,0.864,0.278,68,24
Mitch Haniger,0,0.859,0.285,93,26
Miguel Andujar,0,0.855,0.297,92,27
Nick Castellanos,0,0.854,0.298,89,23
Giancarlo Stanton,0,0.852,0.266,100,38
Nelson Cruz,0,0.850,0.256,97,37
Jose Altuve,0,0.837,0.316,61,13
Aaron Hicks,0,0.833,0.248,79,27
Michael Brantley,0,0.832,0.309,76,17
Andrew Benintendi,0,0.830,0.290,87,16
Didi Gregorius,0,0.829,0.268,86,27
Stephen Piscotty,0,0.821,0.267,88,27
C.J. Cron,0,0.816,0.253,74,30
Shin-Soo Choo,0,0.810,0.264,62,21
Joey Gallo,0,0.810,0.206,92,40
Edwin Encarnacion,0,0.810,0.246,107,32
Justin Upton,0,0.808,0.257,85,30
Mike Trout,0,1.071,0.306,72,33
Aaron Judge,0,1.049,0.284,114,52
Jose Altuve,1,0.957,0.346,81,24
Jose Ramirez,0,0.956,0.318,83,29
Nelson Cruz,0,0.924,0.288,119,39
Marwin Gonzalez,0,0.907,0.303,90,23
Jose Abreu,0,0.906,0.304,102,33
Justin Upton,0,0.901,0.273,109,35
George Springer,0,0.889,0.283,85,34
Avisail Garcia,0,0.886,0.330,80,18
Justin Smoak,0,0.883,0.270,90,38
Eric Hosmer,0,0.882,0.318,94,25
Edwin Encarnacion,0,0.881,0.258,107,38
Gary Sanchez,0,0.876,0.278,90,33
Joey Gallo,0,0.870,0.209,80,41
Logan Morrison,0,0.868,0.246,85,38
Yonder Alonso,0,0.866,0.266,67,28
Khris Davis,0,0.864,0.247,110,43
Brian Dozier,0,0.856,0.271,93,34
Josh Reddick,0,0.847,0.314,82,13
Francisco Lindor,0,0.842,0.273,89,33
Jonathan Schoop,0,0.841,0.293,105,32
Eddie Rosario,0,0.836,0.290,78,27
Mike Moustakas,0,0.835,0.272,85,38
Alex Bregman,0,0.827,0.284,71,19
David Ortiz,0,1.021,0.315,127,38
Mike Trout,1,0.991,0.315,100,29
Miguel Cabrera,0,0.956,0.316,108,38
Josh Donaldson,0,0.953,0.284,99,37
Jose Altuve,0,0.928,0.338,96,24
Nelson Cruz,0,0.915,0.287,105,43
J.D. Martinez,0,0.908,0.307,68,22
Mookie Betts,0,0.897,0.318,113,31
Brian Dozier,0,0.886,0.268,99,42
Edwin Encarnacion,0,0.886,0.263,127,42
Robinson Cano,0,0.882,0.298,103,39
Adrian Beltre,0,0.879,0.300,104,32
Manny Machado,0,0.876,0.294,96,37
Hanley Ramirez,0,0.866,0.286,111,30
Carlos Santana,0,0.865,0.259,87,34
Kyle Seager,0,0.859,0.278,99,30
Carlos Beltran,0,0.850,0.295,93,29
Mark Trumbo,0,0.850,0.256,108,47
Evan Longoria,0,0.840,0.273,98,36
Jackie Bradley,0,0.835,0.267,87,26
Ian Kinsler,0,0.831,0.288,83,28
Khris Davis,0,0.831,0.247,102,42
Victor Martinez,0,0.826,0.289,86,27
Jose Ramirez,0,0.825,0.312,76,11
Dustin Pedroia,0,0.825,0.318,74,15
Mike Trout,0,0.991,0.299,90,41
Miguel Cabrera,0,0.974,0.338,76,18
Josh Donaldson,1,0.939,0.297,123,41
Nelson Cruz,0,0.936,0.302,93,44
Edwin Encarnacion,0,0.929,0.277,111,39
Chris Davis,0,0.923,0.262,117,47
David Ortiz,0,0.913,0.273,108,37
Jose Bautista,0,0.913,0.250,114,40
J.D. Martinez,0,0.879,0.282,102,38
Manny Machado,0,0.861,0.286,86,35
Michael Brantley,0,0.859,0.310,84,15
Jose Abreu,0,0.850,0.290,101,30
Kendrys Morales,0,0.847,0.290,106,22
Alex Rodriguez,0,0.842,0.250,86,33
Prince Fielder,0,0.841,0.305,98,23
Lorenzo Cain,0,0.838,0.307,72,16
Shin-Soo Choo,0,0.838,0.276,82,22
Jason Kipnis,0,0.823,0.303,52,9
Eric Hosmer,0,0.822,0.297,93,18
