player name,mvp,ops,avg,rbi,hr
DJ LeMahieu,Not MVP,1.011,0.364,27,10
Jose Ramirez,Not MVP,0.993,0.292,46,17
Mike Trout,Not MVP,0.993,0.281,46,17
Nelson Cruz,Not MVP,0.992,0.303,33,16
Jose Abreu,MVP,0.987,0.317,60,19
Luke Voit,Not MVP,0.948,0.277,52,22
Teoscar Hernandez,Not MVP,0.919,0.289,34,16
Brandon Lowe,Not MVP,0.916,0.269,37,14
Anthony Rendon,Not MVP,0.916,0.286,31,9
George Springer,Not MVP,0.899,0.265,32,14
Eloy Jimenez,Not MVP,0.890,0.296,41,14
Tim Anderson,Not MVP,0.886,0.322,21,10
Lourdes Gurriel,Not MVP,0.882,0.308,33,11
Jeimer Candelario,Not MVP,0.872,0.297,29,7
Xander Bogaerts,Not MVP,0.867,0.300,28,11
Alex Verdugo,Not MVP,0.844,0.308,15,6
Michael Brantley,Not MVP,0.840,0.300,22,5
Kyle Tucker,Not MVP,0.836,0.268,42,9
Robbie Grossman,Not MVP,0.826,0.241,23,8
Tommy La Stella,Not MVP,0.819,0.281,25,5
Renato Nunez,Not MVP,0.816,0.256,31,12
Jackie Bradley,Not MVP,0.814,0.283,22,7
Willy Adames,Not MVP,0.813,0.259,23,8
Cavan Biggio,Not MVP,0.807,0.250,28,8
David Fletcher,Not MVP,0.801,0.319,18,3
Mike Trout,MVP,1.083,0.291,104,45
Nelson Cruz,Not MVP,1.031,0.311,108,41
Alex Bregman,Not MVP,1.015,0.296,112,41
George Springer,Not MVP,0.974,0.292,96,39
Xander Bogaerts,Not MVP,0.939,0.309,117,33
J.D. Martinez,Not MVP,0.939,0.304,105,36
Jorge Soler,Not MVP,0.922,0.265,117,48
Austin Meadows,Not MVP,0.922,0.291,89,33
Rafael Devers,Not MVP,0.916,0.311,115,32
Yoan Moncada,Not MVP,0.915,0.315,79,25
Mookie Betts,Not MVP,0.915,0.295,80,29
Carlos Santana,Not MVP,0.911,0.281,93,34
Jose Altuve,Not MVP,0.903,0.298,74,31
Trey Mancini,Not MVP,0.899,0.291,97,35
Matt Olson,Not MVP,0.896,0.267,91,36
DJ LeMahieu,Not MVP,0.893,0.327,102,26
Marcus Semien,Not MVP,0.892,0.285,92,33
Yuli Gurriel,Not MVP,0.884,0.298,104,31
Michael Brantley,Not MVP,0.875,0.311,90,22
Gleyber Torres,Not MVP,0.871,0.278,90,38
Hunter Dozier,Not MVP,0.870,0.279,84,26
Tim Anderson,Not MVP,0.865,0.335,56,18
Danny Santana,Not MVP,0.857,0.283,81,28
Max Kepler,Not MVP,0.855,0.252,90,36
Francisco Lindor,Not MVP,0.854,0.284,74,32
Mike Trout,Not MVP,1.088,0.312,79,39
Mookie Betts,MVP,1.078,0.346,80,32
J.D. Martinez,Not MVP,1.031,0.330,130,43
Jose Ramirez,Not MVP,0.939,0.270,105,39
Alex Bregman,Not MVP,0.926,0.286,103,31
Xander Bogaerts,Not MVP,0.883,0.288,103,23
Khris Davis,Not MVP,0.874,0.247,123,48
Francisco Lindor,Not MVP,0.871,0.277,92,38
Matt Chapman,Not MVP,0.864,0.278,68,24
Mitch Haniger,Not MVP,0.859,0.285,93,26
