player name,ops,avg,rbi,hr
Vladimir Guerrero,1.007,0.318,97,39
Shohei Ohtani,0.972,0.258,93,43
Aaron Judge,0.917,0.294,75,30
Matt Olson,0.917,0.274,89,32
Cedric Mullins,0.899,0.305,52,25
Jose Ramirez,0.898,0.260,86,32
Rafael Devers,0.891,0.274,100,33
Yordan Alvarez,0.881,0.282,89,28
Kyle Tucker,0.870,0.281,76,24
J.D. Martinez,0.868,0.286,88,25
Xander Bogaerts,0.867,0.298,70,20
Salvador Perez,0.867,0.277,102,41
Marcus Semien,0.865,0.266,82,35
Yuli Gurriel,0.857,0.314,72,14
Giancarlo Stanton,0.853,0.268,73,26
Carlos Correa,0.848,0.274,73,22
Jose Abreu,0.844,0.265,103,28
Teoscar Hernandez,0.842,0.292,92,24
Nelson Cruz,0.840,0.266,74,27
Jorge Polanco,0.840,0.278,82,26
Brandon Lowe,0.838,0.233,81,33
Josh Donaldson,0.834,0.253,59,21
Jared Walsh,0.830,0.268,80,25
Randy Arozarena,0.822,0.274,61,19
Hunter Renfroe,0.820,0.261,81,26
