player name,ops,avg,rbi,hr
Bryce Harper,1.044,0.309,84,35
Juan Soto,0.999,0.313,95,29
Fernando Tatis,0.975,0.282,97,42
Nick Castellanos,0.939,0.309,100,34
Joey Votto,0.938,0.266,99,36
Bryan Reynolds,0.912,0.302,90,24
Tyler O'Neill,0.912,0.286,80,34
Trea Turner,0.911,0.328,77,28
C.J. Cron,0.905,0.281,92,28
Austin Riley,0.898,0.303,107,33
Freddie Freeman,0.896,0.300,83,31
Max Muncy,0.895,0.249,94,36
Brandon Crawford,0.895,0.298,90,24
Paul Goldschmidt,0.879,0.294,99,31
Pete Alonso,0.862,0.262,94,37
Mookie Betts,0.854,0.264,58,23
Manny Machado,0.836,0.278,106,28
Jonathan India,0.835,0.269,69,21
Kris Bryant,0.835,0.265,73,25
Justin Turner,0.832,0.278,87,27
Josh Bell,0.823,0.261,88,27
Avisail Garcia,0.820,0.262,86,29
Javier Baez,0.813,0.265,87,31
Nolan Arenado,0.806,0.255,105,34
Trevor Story,0.801,0.251,75,24
